# Referentiel d'activite Vigie-Chiro Point Fixe (contacts/nuit)
# Source : Bas Y, Kerbiriou C, Roemer C & Julien JF (2020) Bat reference scale of activity levels (Team-Chiro / MNHN)
# https://croemer3.wixsite.com/teamchiro/reference-scales-of-activity - libre d'usage avec citation obligatoire
# national toutes-saisons = 2020 ; saisons/regions/habitats = 2023 ; genere par build_activity_ref.py
# Classes : Faible <Q25 | Moyenne Q25-Q75 | Forte Q75-Q98 | Tres forte >=Q98
code;referentiel;saison;q25;q75;q98;nbocc;confiance
Phofem;region:Auvergne-Rhone-Alpes;automne;1;4;17;34;Faible
Phogri;region:Auvergne-Rhone-Alpes;automne;4;80;2819;126;Bonne
piaf;region:Auvergne-Rhone-Alpes;automne;15;65;364;87;Moderee
Pipkuh;region:Auvergne-Rhone-Alpes;automne;6;107;572;130;Bonne
Pipnat;region:Auvergne-Rhone-Alpes;automne;2;18;1025;76;Moderee
Pippip;region:Auvergne-Rhone-Alpes;automne;6;278;2252;148;Bonne
Pippyg;region:Auvergne-Rhone-Alpes;automne;2;13;223;75;Moderee
Plaaff;region:Auvergne-Rhone-Alpes;automne;20;60;228;9;Faible
Plaalb;region:Auvergne-Rhone-Alpes;automne;3;22;89;50;Moderee
Plaint;region:Auvergne-Rhone-Alpes;automne;1;8;908;57;Moderee
Plasab;region:Auvergne-Rhone-Alpes;automne;1;6;8;11;Faible
Pleaur;region:Auvergne-Rhone-Alpes;automne;1;4;106;57;Moderee
Pleaus;region:Auvergne-Rhone-Alpes;automne;1;8;193;62;Moderee
Plemac;region:Auvergne-Rhone-Alpes;automne;1;2;5;7;Faible
Ratnor;region:Auvergne-Rhone-Alpes;automne;1;7;13;11;Faible
Rhasp;region:Auvergne-Rhone-Alpes;automne;6;97;122;5;Faible
Rhieur;region:Auvergne-Rhone-Alpes;automne;3;12;89;35;Faible
Rhifer;region:Auvergne-Rhone-Alpes;automne;6;460;1057;54;Moderee
Rhihip;region:Auvergne-Rhone-Alpes;automne;9;58;334;62;Moderee
Roeroe;region:Auvergne-Rhone-Alpes;automne;1;3;332;21;Faible
Rusnit;region:Auvergne-Rhone-Alpes;automne;1;11;2324;48;Moderee
Sepsep;region:Auvergne-Rhone-Alpes;automne;2;20;94;13;Faible
Tadten;region:Auvergne-Rhone-Alpes;automne;2;15;23;12;Faible
